"","ensembl_gene_id","hgnc_symbol","description","chromosome_name","band","occurences","median_log2FC","sd_log2FC","mean_log2FC","chr_band","Blood","Cerebellum","Cortex","Endothelia","ESCs","fetalliver","Fibroblasts","Forebrain","Heart","Hippocampus","iPSCs","Liver","Muscle","NPCs","Placenta","Thymus","wholebrain","wholeembryo","entropy","pseudotscore","interactor_level","tad"
"ENSG00000142168","ENSG00000142168","SOD1","superoxide dismutase 1 ","21","q22.11",24,0.708492034103468,0.998651522142286,0.557194314149814,"21q22.11",1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,8,2.73336940261053,"0",2937
"ENSG00000159131","ENSG00000159131","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase ","21","q22.11",22,0.811363422927056,0.874016344351023,0.659434534791509,"21q22.11",1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,3.5388607484847,"0",2940
"ENSG00000205758","ENSG00000205758","CRYZL1","crystallin zeta like 1 ","21","q22.11",18,0.73824006341572,0.861542828747327,0.823137800346516,"21q22.11",1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,7,4.05351632713806,"0",2941
"ENSG00000183255","ENSG00000183255","PTTG1IP","PTTG1 interacting protein ","21","q22.3",17,0.934795913509367,0.604243464045287,0.972872427837337,"21q22.3",1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,6.63847607613311,"0",2956
"ENSG00000159140","ENSG00000159140","SON","SON DNA binding protein ","21","q22.11",16,0.769831934006735,1.00286171089741,0.4424970730047,"21q22.11",1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,1,0,9,1.76493755099587,"0",2940
"ENSG00000142188","ENSG00000142188","TMEM50B","transmembrane protein 50B ","21","q22.11",15,0.728728186417385,0.692521816934446,0.81678179370179,"21q22.11",1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,8,4.56791715024323,"0",2940
"ENSG00000262473","ENSG00000262473","GART","phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase ","21","",14,0.869485110150092,0.72003635038022,0.762433770526845,"21",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3.96197490294935,"0",NA
"ENSG00000155313","ENSG00000155313","USP25","ubiquitin specific peptidase 25 ","21","q21.1",13,0.647480380302857,1.08653433734059,0.450438561111407,"21q21.1",1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,7,1.49473355118119,"0",2926
"ENSG00000241837","ENSG00000241837","ATP5PO","ATP synthase peripheral stalk subunit OSCP ","21","q22.11",13,0.697374864943785,0.278719121482136,0.809668746965814,"21q22.11",1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,7,10.4739932007608,"0",NA
"ENSG00000105855","ENSG00000105855","ITGB8","integrin subunit beta 8 ","7","p21.1",12,-0.808632226812072,0.911664578881004,-0.45874898646161,"7p21.1",0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,-1.74313354029289,"1",1373
"ENSG00000159079","ENSG00000159079","CFAP298","cilia and flagella associated protein 298 ","21","q22.11",12,0.809200580788477,0.300574830702447,0.8977751667588,"21q22.11",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10.3467891770301,"0",2939
"ENSG00000159256","ENSG00000159256","MORC3","MORC family CW-type zinc finger 3 ","21","q22.12",12,0.663047625957838,0.69006776460086,0.633061703516393,"21q22.12",1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,6,3.17793437417184,"0",2945
"ENSG00000105877","ENSG00000105877","DNAH11","dynein axonemal heavy chain 11 ","7","p15.3",11,3.15617895793367,1.04877666972302,3.11070934549396,"7p15.3",0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,5,9.83722848600379,"3",1375
"ENSG00000154719","ENSG00000154719","MRPL39","mitochondrial ribosomal protein L39 ","21","q21.3",11,0.69008750203565,0.107573661040904,0.728228423467194,"21q21.3",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,22.4521543558357,"0",NA
"ENSG00000156256","ENSG00000156256","USP16","ubiquitin specific peptidase 16 ","21","q21.3",11,0.675016882904245,1.48853735553731,0.233753385715843,"21q21.3",1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,0.520828228469167,"0",NA
"ENSG00000157617","ENSG00000157617","C2CD2","C2 calcium dependent domain containing 2 ","21","q22.3",11,0.654963202609331,0.200334060998486,0.733477128808273,"21q22.3",1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,7,12.143059529865,"0",2951
"ENSG00000159110","ENSG00000159110","IFNAR2","interferon alpha and beta receptor subunit 2 ","21","q22.11",11,0.715222666123388,0.303746089165764,0.794705371959404,"21q22.11",1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,9,8.67744353485572,"0",2940
"ENSG00000160310","ENSG00000160310","PRMT2","protein arginine methyltransferase 2 ","21","q22.3",11,0.888130214571602,0.710887781555355,1.18352215459657,"21q22.3",1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6,5.52168572834609,"0",2958
"ENSG00000183527","ENSG00000183527","PSMG1","proteasome assembly chaperone 1 ","21","q22.2",11,0.655859900178104,0.83381799114147,0.521044966344831,"21q22.2",1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,7,2.07252742280535,"0",2948
"ENSG00000198862","ENSG00000198862","LTN1","listerin E3 ubiquitin protein ligase 1 ","21","q21.3",11,0.702675892923927,0.859050366765385,0.898193810679308,"21q21.3",1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,7,3.46774994143779,"0",2934
"ENSG00000205581","ENSG00000205581","HMGN1","high mobility group nucleosome binding domain 1 ","21","q22.2",11,0.681037282254426,0.695804014615897,0.611845846112676,"21q22.2",1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,6,2.91642913588748,"0",NA
"ENSG00000124440","ENSG00000124440","HIF3A","hypoxia inducible factor 3 subunit alpha ","19","q13.32",10,0.730654041466003,0.718318289925895,0.646825327515863,"19q13.32",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2.84754169832641,"2",2837
"ENSG00000141959","ENSG00000141959","PFKL","phosphofructokinase, liver type ","21","q22.3",10,0.660544538996751,0.0900707324205812,0.694510792905166,"21q22.3",1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,5,24.3834584900966,"0",2955
"ENSG00000157538","ENSG00000157538","VPS26C","VPS26 endosomal protein sorting factor C ","21","q22.13",10,0.649287529732273,0.0777001242169271,0.674921586454806,"21q22.13",1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7,27.4682888440798,"0",2947
"ENSG00000159086","ENSG00000159086","PAXBP1","PAX3 and PAX7 binding protein 1 ","21","q22.11",10,0.75096759747843,0.814261521057134,0.959957811409971,"21q22.11",1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3.72810585201763,"0",2940
"ENSG00000160216","ENSG00000160216","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3 ","21","q22.3",10,0.917118383117054,0.263627102853359,0.936512637620381,"21q22.3",1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,11.2337197517192,"0",2955
"ENSG00000182362","ENSG00000182362","YBEY","ybeY metalloendoribonuclease ","21","q22.3",10,0.768339150910993,0.294468876222582,0.896913513427595,"21q22.3",1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4,9.63188233336868,"0",2958
"ENSG00000205726","ENSG00000205726","ITSN1","intersectin 1 ","21","q22.11",10,0.692827666185897,0.852581163555088,0.144229709147678,"21q22.11",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0.534957147385788,"0",2941
"ENSG00000154640","ENSG00000154640","BTG3","BTG anti-proliferation factor 3 ","21","q21.1",9,0.906198172264413,0.911722348038939,0.656171375279398,"21q21.1",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,2.1591157988749,"0",2927
"ENSG00000156261","ENSG00000156261","CCT8","chaperonin containing TCP1 subunit 8 ","21","q21.3",9,0.707650820580014,0.702403450128902,0.656928185475095,"21q21.3",1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,2.80577288745324,"0",2935
"ENSG00000156273","ENSG00000156273","BACH1","BTB domain and CNC homolog 1 ","21","q21.3",9,0.895874041404906,0.94293204638188,0.951952362526122,"21q21.3",1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,3.02869872599681,"0",2935
"ENSG00000157540","ENSG00000157540","DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A ","21","q22.13",9,0.686819546504396,0.993467379479835,0.245427036284158,"21q22.13",1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,5,0.741122581435921,"0",2947
"ENSG00000159200","ENSG00000159200","RCAN1","regulator of calcineurin 1 ","21","q22.12",9,0.686537489266023,0.296377961337411,0.802936094644351,"21q22.12",1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,6,8.12748786402087,"0",2943
"ENSG00000160213","ENSG00000160213","CSTB","cystatin B ","21","q22.3",9,0.787329411756839,0.320877267049019,0.888844755320011,"21q22.3",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,8.3101376750154,"0",NA
"ENSG00000160285","ENSG00000160285","LSS","lanosterol synthase ","21","q22.3",9,0.693084659256932,0.850514005886533,0.643808036650417,"21q22.3",1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,2.27089042224299,"0",2958
"ENSG00000160299","ENSG00000160299","PCNT","pericentrin ","21","q22.3",9,0.685313906757433,0.172561771110464,0.73147114387096,"21q22.3",1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5,12.7166835243488,"0",2958
"ENSG00000184900","ENSG00000184900","SUMO3","small ubiquitin-like modifier 3 ","21","q22.3",9,0.707550242373459,0.417465551065274,0.877545308001221,"21q22.3",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,6.30623513074503,"0",2956
"ENSG00000243927","ENSG00000243927","MRPS6","mitochondrial ribosomal protein S6 ","21","q22.11",9,0.67736874332665,1.20878980736839,0.385454115605751,"21q22.11",1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,5,0.95662814144233,"0",NA
