Ensembl,HUGO,Cognition
ENSG00000075624,ACTB,x
ENSG00000163017,ACTG2,x
ENSG00000154734,ADAMTS1,x
ENSG00000088448,ANKRD10,x
ENSG00000142192,APP,x
ENSG00000018625,ATP1A2,x
ENSG00000166710,B2M,x
ENSG00000156273,BACH1,x
ENSG00000176697,BDNF,x
ENSG00000172331,BPGM,x
ENSG00000165389,C14orf147,x
ENSG00000113328,CCNG1,x
ENSG00000156261,CCT8,x
ENSG00000117519,CNN3,x
ENSG00000108821,COL1A1,x
ENSG00000187498,COL4A1,x
ENSG00000130635,COL5A1,x
ENSG00000204262,COL5A2,x
ENSG00000118523,CTGF,x
ENSG00000109861,CTSC,x
ENSG00000011465,DCN,x
ENSG00000135829,DHX9,x
ENSG00000128590,DNAJB9,x
ENSG00000113657,DPYSL3,x
ENSG00000170345,FOS,x
ENSG00000163430,FSTL1,x
ENSG00000135821,GLUL,x
ENSG00000127920,GNG11,x
ENSG00000148180,GSN,x
ENSG00000198189,HSD17B11,x
ENSG00000126803,HSPA2,x
ENSG00000044574,HSPA5,x
ENSG00000120694,HSPH1,x
ENSG00000172201,ID4,x
ENSG00000146674,IGFBP3,x
ENSG00000205726,ITSN1,x
ENSG00000116679,IVNS1ABP,x
ENSG00000108679,LGALS3BP,x
ENSG00000189067,LITAF,x
ENSG00000078018,MAP2,x
ENSG00000157601,MX1,x
ENSG00000100285,NEFH,x
ENSG00000141959,PFKL,x
ENSG00000123560,PLP1,x
ENSG00000109099,PMP22,x
ENSG00000133110,POSTN,x
ENSG00000166794,PPIB,x
ENSG00000117592,PRDX6,x
ENSG00000107317,PTGDS,x
ENSG00000173482,PTPRM,x
ENSG00000183255,PTTG1IP,x
ENSG00000211456,SACM1L,x
ENSG00000171951,SCG2,x
ENSG00000135919,SERPINE2,x
ENSG00000115524,SF3B1,x
ENSG00000142168,SOD1,x
ENSG00000112096,SOD2,x
ENSG00000113140,SPARC,x
ENSG00000118785,SPP1,x
ENSG00000157005,SST,x
ENSG00000006128,TAC1,x
ENSG00000113649,TCERG1,x
ENSG00000154096,THY1,x
ENSG00000104067,TJP1,x
ENSG00000182670,TTC3L ; TTC3,x
ENSG00000049245,VAMP3,x
ENSG00000162692,VCAM1,x
ENSG00000163032,VSNL1,x
ENSG00000122952,ZWINT,x
ENSG00000137331,NA,x
ENSG00000097021,ACOT7,NA
ENSG00000114948,ADAM23,NA
ENSG00000168615,ADAM9,NA
ENSG00000154736,ADAMTS5,NA
ENSG00000182551,ADI1,NA
ENSG00000160216,AGPAT3,NA
ENSG00000135744,AGT,NA
ENSG00000170017,ALCAM,NA
ENSG00000143149,ALDH9A1,NA
ENSG00000196704,AMZ2,NA
ENSG00000178878,APOLD1,NA
ENSG00000137962,ARHGAP29,NA
ENSG00000100852,ARHGAP5,NA
ENSG00000138303,ASCC1,NA
ENSG00000111875,ASF1A,NA
ENSG00000198356,ASNA1,NA
ENSG00000070669,ASNS,NA
ENSG00000163399,ATP1A1,NA
ENSG00000183778,B3GALT5,NA
ENSG00000182240,BACE2,NA
ENSG00000114200,BCHE,NA
ENSG00000182492,BGN,NA
ENSG00000172270,BSG,NA
ENSG00000132640,BTBD3,NA
ENSG00000154640,BTG3,NA
ENSG00000204856,C12orf24,NA
ENSG00000136122,C13orf34,NA
ENSG00000074842,C19orf10,NA
ENSG00000160221,C21orf33,NA
ENSG00000159086,C21orf66,NA
ENSG00000157617,C2CD2,NA
ENSG00000181751,C5orf30,NA
ENSG00000104267,CA2,NA
ENSG00000162909,CAPN2,NA
ENSG00000159228,CBR1,NA
ENSG00000159231,CBR3,NA
ENSG00000160200,CBS,NA
ENSG00000002586,CD99,NA
ENSG00000094880,CDC23,NA
ENSG00000097046,CDC7,NA
ENSG00000175040,CHST2,NA
ENSG00000099622,CIRBP,NA
ENSG00000136108,CKAP2,NA
ENSG00000136026,CKAP4,NA
ENSG00000159261,CLDN14,NA
ENSG00000156284,CLDN8,NA
ENSG00000182871,COL18A1,NA
ENSG00000164692,COL1A2,NA
ENSG00000168542,COL3A1,NA
ENSG00000134871,COL4A2,NA
ENSG00000142173,COL6A2,NA
ENSG00000158270,COLEC12,NA
ENSG00000181789,COPG,NA
ENSG00000103187,COTL1,NA
ENSG00000103196,CRISPLD2,NA
ENSG00000205758,CRYZL1,NA
ENSG00000159176,CSRP1,NA
ENSG00000160213,CSTB,NA
ENSG00000198730,CTR9,NA
ENSG00000006210,CX3CL1,NA
ENSG00000168209,DDIT4,NA
ENSG00000116133,DHCR24,NA
ENSG00000172893,DHCR7,NA
ENSG00000132002,DNAJB1,NA
ENSG00000162616,DNAJB4,NA
ENSG00000159147,DONSON,NA
ENSG00000142197,DOPEY2,NA
ENSG00000157538,DSCR3,NA
ENSG00000096696,DSP,NA
ENSG00000157540,DYRK1A,NA
ENSG00000115380,EFEMP1,NA
ENSG00000120738,EGR1,NA
ENSG00000143420,ENSA,NA
ENSG00000151491,EPS8,NA
ENSG00000157554,ERG,NA
ENSG00000157557,ETS2,NA
